Store_Key,Store_Name,Channel,Store_Grade,Region_Key,Sub_Channel,Payment_Term,Latitude,Longitude
656,Grocery Barnes Inc,Traditional Trade,Class A,11,Wholesale,Cash,28.268344,32.966667
657,Grocery Moore-Fisher,Traditional Trade,Class A,31,Supermarket,Credit 30 Days,28.857422,32.743382
658,Hypermarket Graham Group,Modern Trade,Class A,27,Kiosk,Credit 30 Days,29.067066,31.220793
659,Market Roberson Simmons and Schneider,Modern Trade,Class A,23,Restaurant,Credit 30 Days,27.850094,29.142781
660,Market Snyder-Ellis,Modern Trade,Class C,18,Kiosk,Credit 15 Days,27.967446,29.135689
661,Grocery Solis Group,Modern Trade,Class B,19,Wholesale,Credit 30 Days,28.788859,29.70294
662,Hypermarket Wilson Fowler and Sanchez,Modern Trade,Class A,15,Supermarket,Cash,30.905168,31.422571
663,Grocery Stone-Hicks,Modern Trade,Class C,18,Restaurant,Credit 30 Days,30.963715,31.661674
664,Grocery Garcia Inc,Modern Trade,Class C,31,Restaurant,Credit 30 Days,27.078209,29.236296
665,Grocery Massey Miles and Brock,Traditional Trade,Class B,21,Kiosk,Cash,27.972771,31.98321
666,Hypermarket Fleming LLC,HORECA,Class B,34,Wholesale,Credit 30 Days,30.988574,32.401564
667,Market Reed Callahan and Logan,Modern Trade,Class A,14,Restaurant,Cash,27.422489,29.120638
668,Supermarket Lee Porter and Walker,HORECA,Class A,4,Cafeteria,Credit 15 Days,29.85224,29.933224
669,Hypermarket Fleming Ltd,HORECA,Class A,35,Mini Market,Cash,28.182495,29.738727
670,Market Harris Meyers and Holmes,Modern Trade,Class B,21,Kiosk,Credit 15 Days,29.978571,32.032401
671,Supermarket Hawkins-Marshall,Traditional Trade,Class A,15,Restaurant,Cash,27.386388,30.759224
672,Hypermarket Marsh-Martinez,HORECA,Class C,1,Wholesale,Cash,31.432147,29.805244
673,Market Davis-Young,Traditional Trade,Class C,16,Supermarket,Cash,31.304172,29.715135
674,Grocery Nichols LLC,Traditional Trade,Class A,1,Mini Market,Cash,30.363319,31.100816
675,Grocery Gonzalez Hansen and Ramirez,HORECA,Class B,4,Mini Market,Credit 15 Days,29.612156,31.836436
676,Supermarket Jackson LLC,Traditional Trade,Class B,26,Restaurant,Credit 30 Days,28.05363,30.728264
677,Grocery Smith Inc,HORECA,Class C,34,Restaurant,Cash,27.380102,32.961134
678,Supermarket Garcia Ltd,Modern Trade,Class B,21,Cafeteria,Credit 30 Days,30.985957,30.683899
679,Market George Inc,HORECA,Class C,4,Supermarket,Cash,29.803853,30.251048
680,Hypermarket Parker House and George,Modern Trade,Class A,26,Restaurant,Credit 15 Days,27.089998,29.342138
681,Market Hill Barnes and Meyers,HORECA,Class A,1,Supermarket,Credit 15 Days,29.291381,30.118556
682,Hypermarket Brennan and Sons,HORECA,Class A,3,Cafeteria,Cash,29.366316,32.464496
683,Grocery Singleton Lloyd and Cunningham,Traditional Trade,Class C,19,Mini Market,Credit 15 Days,29.194001,32.144562
684,Supermarket Lopez Myers and Rose,HORECA,Class C,6,Supermarket,Cash,28.172675,32.154155
685,Market Holland Reese and Roberts,Traditional Trade,Class A,14,Restaurant,Credit 30 Days,29.429812,31.245459
686,Hypermarket Walter and Sons,Modern Trade,Class B,10,Kiosk,Credit 15 Days,29.879485,29.760467
687,Market Garrett LLC,HORECA,Class C,31,Cafeteria,Credit 30 Days,27.411353,32.26393
688,Supermarket Flores-Gibson,Modern Trade,Class C,11,Supermarket,Credit 30 Days,31.124752,32.351743
689,Market Bryant-Rush,HORECA,Class A,5,Wholesale,Credit 15 Days,29.292735,32.929537
690,Market Schroeder-Cox,Modern Trade,Class A,28,Restaurant,Cash,29.978446,30.835029
691,Hypermarket Collins-Cooper,HORECA,Class A,29,Mini Market,Credit 15 Days,30.233629,31.834243
692,Hypermarket Gilmore PLC,HORECA,Class B,20,Kiosk,Cash,28.35444,30.058017
693,Market Smith Adkins and Gomez,Modern Trade,Class C,35,Cafeteria,Credit 30 Days,27.841802,29.225185
694,Market Harris Carter and Morrow,HORECA,Class B,35,Supermarket,Credit 30 Days,30.62513,29.638286
695,Grocery Roberts Jackson and Kramer,Traditional Trade,Class A,27,Wholesale,Credit 15 Days,29.399496,29.836815
696,Market Aguilar Blair and Young,Modern Trade,Class A,14,Supermarket,Credit 30 Days,28.750949,30.622896
697,Hypermarket Miller-Chen,HORECA,Class A,6,Kiosk,Credit 15 Days,29.067844,30.457448
698,Grocery Fox Martin and Morgan,Modern Trade,Class A,19,Supermarket,Cash,28.701429,30.913346
699,Market Mitchell LLC,HORECA,Class A,12,Wholesale,Credit 15 Days,30.458398,32.457467
700,Hypermarket Mclaughlin Moore and Harrington,Traditional Trade,Class B,35,Mini Market,Credit 15 Days,27.414447,31.903352
701,Grocery Jackson-Carter,Traditional Trade,Class A,16,Restaurant,Credit 30 Days,31.146976,30.373186
702,Grocery Vargas Nelson and Thompson,HORECA,Class B,15,Kiosk,Cash,31.34222,29.202489
703,Market Kim LLC,Traditional Trade,Class B,1,Cafeteria,Cash,29.91348,32.016533
704,Market Wright-Simpson,Modern Trade,Class C,13,Supermarket,Credit 15 Days,31.079452,31.245098
705,Grocery Guzman-Gregory,Traditional Trade,Class B,3,Mini Market,Credit 15 Days,28.088627,30.763469
706,Supermarket Hernandez Odom and Stephens,HORECA,Class A,2,Mini Market,Credit 30 Days,31.051737,31.058568
707,Market Morris Ltd,Traditional Trade,Class C,19,Restaurant,Cash,27.452832,31.615705
708,Market Williams Group,Modern Trade,Class A,34,Mini Market,Cash,30.039846,31.560686
709,Grocery Vazquez-Edwards,Modern Trade,Class A,34,Wholesale,Cash,27.997466,29.16627
710,Grocery Vega-Leon,HORECA,Class A,28,Supermarket,Credit 15 Days,27.256291,30.864573
711,Market Nunez-Wolf,HORECA,Class C,28,Wholesale,Credit 15 Days,29.427963,30.298541
712,Hypermarket Rivera Castillo and Carey,Modern Trade,Class B,2,Supermarket,Cash,30.741751,32.365158
713,Grocery Phillips Group,Traditional Trade,Class B,30,Kiosk,Credit 15 Days,30.673152,32.573242
714,Hypermarket Garrett Williams and Ryan,Modern Trade,Class C,15,Mini Market,Credit 15 Days,27.683632,32.935375
715,Supermarket Mitchell Group,Modern Trade,Class C,9,Cafeteria,Credit 30 Days,27.732205,32.017023
716,Market Mitchell and Sons,HORECA,Class B,19,Supermarket,Cash,30.254459,31.459596
717,Hypermarket Adams-Cain,Modern Trade,Class A,28,Supermarket,Credit 30 Days,30.163358,32.982987
718,Grocery Hood PLC,HORECA,Class B,1,Wholesale,Cash,29.929122,32.186943
719,Hypermarket Davis Group,Traditional Trade,Class C,29,Kiosk,Credit 15 Days,28.344863,30.160077
720,Market Snyder Ltd,HORECA,Class B,20,Wholesale,Cash,31.089355,29.065485
721,Market Cox Wells and Watson,Modern Trade,Class A,29,Kiosk,Credit 15 Days,29.844824,30.247074
722,Hypermarket Carlson-Harris,Traditional Trade,Class C,1,Restaurant,Credit 30 Days,30.474179,30.077756
723,Hypermarket Mccoy-Duncan,HORECA,Class C,32,Mini Market,Cash,30.016213,32.506023
724,Market Wilson Decker and Perez,Modern Trade,Class C,5,Kiosk,Cash,30.822546,32.502757
725,Grocery Wallace Burns and Boyer,Traditional Trade,Class C,28,Mini Market,Credit 15 Days,28.86703,29.966785
726,Market Hill-Hall,HORECA,Class C,30,Restaurant,Credit 30 Days,29.775144,31.951268
727,Supermarket Giles Ltd,HORECA,Class C,11,Mini Market,Credit 30 Days,27.336954,29.501316
728,Market Sanchez and Sons,Modern Trade,Class A,18,Wholesale,Cash,28.920753,32.661291
729,Market Adams Horton and Rivera,Modern Trade,Class A,13,Restaurant,Cash,29.8909,29.299002
730,Hypermarket Valdez-Johnson,HORECA,Class A,26,Mini Market,Credit 15 Days,31.16675,30.755446
731,Hypermarket Rich Vaughan and Lyons,Traditional Trade,Class B,1,Cafeteria,Credit 15 Days,30.914936,32.65509
732,Grocery Hernandez-Lawson,Traditional Trade,Class A,27,Restaurant,Credit 15 Days,29.606609,31.778817
733,Market Brown Inc,HORECA,Class B,28,Cafeteria,Credit 30 Days,27.719678,29.00003
734,Hypermarket Campbell-Phelps,HORECA,Class C,18,Kiosk,Credit 30 Days,30.913092,30.724262
735,Grocery Curtis Anderson and Harper,Modern Trade,Class B,28,Mini Market,Cash,29.946825,29.703381
736,Market Gutierrez-Caldwell,Traditional Trade,Class C,3,Mini Market,Credit 30 Days,28.091545,32.754532
737,Hypermarket Mack PLC,Traditional Trade,Class B,29,Cafeteria,Credit 15 Days,28.523644,29.693808
738,Supermarket Cruz Inc,Traditional Trade,Class C,9,Supermarket,Credit 15 Days,28.4589,31.914525
739,Hypermarket Brown-Reed,HORECA,Class B,21,Wholesale,Cash,31.259644,30.725907
740,Supermarket Gonzalez-Brooks,Traditional Trade,Class B,7,Restaurant,Credit 30 Days,27.983622,29.712461
741,Hypermarket Mcneil-Williams,Modern Trade,Class B,34,Restaurant,Credit 15 Days,30.874076,29.837149
742,Supermarket Garcia Reeves and Lopez,HORECA,Class A,31,Mini Market,Credit 30 Days,30.650127,32.426701
743,Supermarket Sims-Lewis,HORECA,Class C,21,Mini Market,Credit 15 Days,28.702148,31.875179
744,Market Cox Inc,Traditional Trade,Class B,22,Mini Market,Cash,30.747563,29.001332
745,Hypermarket Grant Group,HORECA,Class C,15,Restaurant,Credit 30 Days,31.226282,30.670662
746,Grocery Terry Taylor and French,HORECA,Class A,7,Kiosk,Cash,30.060268,29.551658
747,Grocery Phelps PLC,HORECA,Class C,16,Restaurant,Credit 30 Days,27.624758,30.885538
748,Hypermarket Olsen Morris and Rush,HORECA,Class C,5,Supermarket,Credit 30 Days,27.052552,31.524276
749,Supermarket Patton Group,Traditional Trade,Class A,19,Supermarket,Credit 30 Days,29.003965,29.812771
750,Grocery Black-Long,HORECA,Class B,25,Supermarket,Cash,28.778454,32.264482
751,Hypermarket Petersen Schmidt and Hernandez,Modern Trade,Class C,25,Supermarket,Cash,28.223945,30.542459
752,Market Harris and Sons,Modern Trade,Class A,30,Supermarket,Cash,28.971974,29.49766
753,Supermarket Fischer Harris and Trevino,Modern Trade,Class A,17,Restaurant,Cash,31.124583,30.975164
754,Market Jefferson Group,Traditional Trade,Class C,2,Mini Market,Credit 15 Days,30.432885,32.701939
755,Market Ortega-Hood,Traditional Trade,Class B,27,Supermarket,Credit 15 Days,29.434739,32.67249
756,Grocery Burke PLC,Traditional Trade,Class A,4,Restaurant,Credit 30 Days,31.334667,32.413519
757,Market Mendez-Davis,Traditional Trade,Class A,16,Supermarket,Credit 30 Days,28.376676,32.587881
758,Supermarket Yates PLC,Traditional Trade,Class B,6,Cafeteria,Credit 30 Days,29.146131,30.450144
759,Market Murillo-Lopez,HORECA,Class B,1,Mini Market,Cash,31.426373,32.57925
760,Hypermarket Anderson Group,HORECA,Class B,35,Mini Market,Credit 15 Days,31.205763,32.34258
761,Market Buck PLC,Traditional Trade,Class B,28,Supermarket,Credit 30 Days,30.477169,31.783816
762,Hypermarket Brewer Inc,HORECA,Class B,7,Kiosk,Credit 30 Days,30.236497,32.035625
763,Market Montoya-Greene,Modern Trade,Class B,18,Cafeteria,Credit 15 Days,27.484854,32.813137
764,Hypermarket French Ewing and Meadows,HORECA,Class B,6,Restaurant,Credit 15 Days,31.32773,31.884286
765,Market Lee-Carroll,HORECA,Class A,14,Restaurant,Credit 30 Days,31.424155,32.043377
766,Supermarket Adams Estrada and Moore,Traditional Trade,Class A,26,Restaurant,Cash,30.164067,31.041279
767,Supermarket Calhoun Lee and Solis,Traditional Trade,Class A,11,Restaurant,Credit 15 Days,28.194061,31.260479
768,Hypermarket Martinez PLC,Traditional Trade,Class C,16,Kiosk,Credit 30 Days,29.337436,30.601461
769,Hypermarket Warren Mejia and Moore,Traditional Trade,Class A,7,Supermarket,Cash,28.791516,30.082254
770,Supermarket Goodman-Simmons,HORECA,Class C,25,Mini Market,Credit 15 Days,30.313485,29.844625
771,Hypermarket Hunter LLC,Traditional Trade,Class C,32,Mini Market,Cash,27.953259,29.446144
772,Market Choi Brewer and Cooper,HORECA,Class B,29,Restaurant,Cash,31.37153,29.583834
773,Supermarket Brown Hayes and Henderson,Traditional Trade,Class C,7,Kiosk,Credit 15 Days,27.859765,32.942996
774,Hypermarket Flynn Group,HORECA,Class C,30,Cafeteria,Cash,29.03246,30.39882
775,Market Cordova Inc,HORECA,Class A,11,Cafeteria,Credit 30 Days,27.154722,32.907307
776,Market Mendoza-Stone,Traditional Trade,Class C,32,Wholesale,Credit 30 Days,28.913091,32.24216
777,Hypermarket Gomez Lopez and Castro,Traditional Trade,Class C,26,Mini Market,Credit 15 Days,30.25876,29.616445
778,Supermarket Robinson-Marks,Modern Trade,Class A,26,Cafeteria,Credit 15 Days,30.220239,29.214411
779,Supermarket Williams Ltd,Traditional Trade,Class A,12,Wholesale,Credit 30 Days,30.634841,29.496932
780,Supermarket Mason Edwards and Oconnor,Traditional Trade,Class C,24,Wholesale,Credit 30 Days,27.058487,30.404701
781,Supermarket Mcmillan Inc,Modern Trade,Class B,3,Supermarket,Credit 30 Days,28.916852,31.77967
782,Hypermarket Rodriguez Chapman and Gonzalez,HORECA,Class B,14,Cafeteria,Cash,28.732332,30.258795
783,Market Gomez Moran and Peters,Traditional Trade,Class A,13,Kiosk,Cash,28.357151,29.166624
784,Market Thornton-Wood,Traditional Trade,Class B,25,Kiosk,Credit 15 Days,31.142917,32.36949
785,Grocery Caldwell-Edwards,Modern Trade,Class A,12,Mini Market,Credit 15 Days,28.038422,29.993065
786,Market Payne LLC,HORECA,Class A,3,Restaurant,Cash,27.533821,29.118122
787,Grocery Williams Ltd,Traditional Trade,Class C,10,Mini Market,Cash,28.997766,32.621389
788,Supermarket Spence PLC,Modern Trade,Class C,13,Supermarket,Cash,27.598828,31.46527
789,Supermarket Kennedy Inc,Modern Trade,Class B,19,Restaurant,Credit 30 Days,28.067386,32.355474
790,Market Rhodes-Nixon,Modern Trade,Class A,30,Kiosk,Credit 30 Days,28.868838,29.72012
791,Grocery Edwards Fernandez and Rush,Modern Trade,Class A,3,Wholesale,Credit 15 Days,28.857161,31.184675
792,Grocery Miller Bush and Colon,Modern Trade,Class A,33,Kiosk,Credit 15 Days,29.482228,32.344666
793,Supermarket Hale Group,Modern Trade,Class C,2,Supermarket,Credit 30 Days,28.358062,29.324446
794,Market Fisher Inc,Modern Trade,Class A,20,Supermarket,Cash,29.449753,31.051208
795,Market Padilla Montes and Harris,Traditional Trade,Class C,33,Kiosk,Credit 15 Days,30.008838,30.590936
796,Supermarket Parker and Sons,Modern Trade,Class C,35,Wholesale,Cash,27.426574,30.081116
797,Supermarket Murphy PLC,HORECA,Class C,7,Supermarket,Cash,28.821729,32.066755
798,Grocery Mercer-Wagner,HORECA,Class B,16,Mini Market,Credit 15 Days,31.229948,29.731584
799,Grocery Salazar Inc,Modern Trade,Class C,11,Cafeteria,Credit 15 Days,31.194202,31.13222
800,Hypermarket Schwartz-Davis,Modern Trade,Class A,31,Cafeteria,Credit 15 Days,27.556972,32.808399
801,Supermarket Heath Hernandez and Hunt,Modern Trade,Class B,13,Kiosk,Credit 30 Days,27.976535,32.274213
802,Grocery Martinez PLC,Modern Trade,Class A,15,Supermarket,Cash,30.977899,30.735954
803,Supermarket Kennedy Ltd,Modern Trade,Class B,11,Mini Market,Cash,29.041495,32.882981
804,Hypermarket Morales Lawrence and Miller,Traditional Trade,Class C,22,Mini Market,Cash,30.348258,32.963987
805,Hypermarket Kirby LLC,Modern Trade,Class A,22,Wholesale,Cash,27.178435,30.156181
806,Supermarket Lopez-Perry,Modern Trade,Class C,17,Kiosk,Credit 30 Days,28.905826,31.72681
807,Market Hughes Diaz and White,Traditional Trade,Class C,2,Wholesale,Credit 30 Days,29.364982,30.985026
808,Grocery Shea Roberson and Gregory,Traditional Trade,Class A,20,Cafeteria,Cash,27.132219,30.440434
809,Hypermarket Williams LLC,HORECA,Class A,26,Restaurant,Credit 30 Days,28.864311,29.967536
810,Market Watson Group,HORECA,Class B,10,Mini Market,Credit 15 Days,28.674638,31.580648
811,Supermarket Hubbard LLC,HORECA,Class B,29,Restaurant,Credit 30 Days,27.607111,31.270774
812,Grocery Brown-Lloyd,Traditional Trade,Class B,29,Restaurant,Credit 15 Days,30.477576,30.259114
813,Supermarket Wolfe Hayes and Goodwin,Traditional Trade,Class B,29,Wholesale,Credit 15 Days,28.606058,30.902042
814,Market Olsen Ferguson and Johnson,Modern Trade,Class A,5,Wholesale,Credit 30 Days,27.849585,29.736058
815,Market Smith Rodriguez and Anderson,HORECA,Class B,29,Supermarket,Credit 30 Days,29.052567,29.72995
816,Grocery George-Jones,Traditional Trade,Class C,32,Wholesale,Cash,28.678822,31.547849
817,Market Holmes Best and Houston,HORECA,Class C,18,Wholesale,Credit 15 Days,27.470515,31.378465
818,Supermarket Miller Miller and Garcia,Modern Trade,Class B,11,Wholesale,Credit 30 Days,30.815824,31.664498
819,Hypermarket Myers-Torres,Modern Trade,Class C,35,Restaurant,Credit 30 Days,30.728302,29.321404
820,Hypermarket Casey-Valenzuela,Modern Trade,Class C,33,Restaurant,Credit 15 Days,30.345041,32.515571
821,Supermarket Morgan Ltd,HORECA,Class C,14,Restaurant,Credit 30 Days,29.075032,32.513337
822,Market Diaz and Sons,HORECA,Class C,27,Cafeteria,Credit 30 Days,27.442546,32.709194
823,Supermarket Howell Johnson and Allen,Traditional Trade,Class B,31,Mini Market,Credit 15 Days,29.542767,32.245791
824,Market Davis Turner and Charles,Traditional Trade,Class A,15,Mini Market,Credit 15 Days,27.871022,31.612872
825,Market Herring-Kerr,Modern Trade,Class C,24,Cafeteria,Credit 30 Days,29.284881,29.407107
826,Grocery Harris Briggs and Lopez,Traditional Trade,Class B,19,Kiosk,Credit 15 Days,31.251089,31.004535
827,Hypermarket White LLC,Traditional Trade,Class C,7,Cafeteria,Cash,30.196886,32.253409
828,Hypermarket Proctor-Newton,Traditional Trade,Class A,9,Kiosk,Cash,29.106577,29.840436
829,Grocery Richardson Fuentes and Williams,HORECA,Class B,25,Cafeteria,Credit 30 Days,29.192824,29.857397
830,Hypermarket Berger-Stevenson,HORECA,Class A,11,Mini Market,Credit 30 Days,30.928094,31.547485
831,Hypermarket Carrillo-Sparks,Traditional Trade,Class B,28,Kiosk,Cash,27.608744,29.602366
832,Hypermarket Garcia-Wilson,Modern Trade,Class A,7,Kiosk,Credit 30 Days,30.679373,31.877924
833,Market Fleming Group,Traditional Trade,Class B,6,Mini Market,Credit 15 Days,29.45871,31.478238
834,Market Johnson-Brown,Modern Trade,Class B,22,Kiosk,Credit 15 Days,27.416946,32.563817
835,Hypermarket Spence Smith and Ramsey,Modern Trade,Class B,8,Supermarket,Credit 30 Days,29.061223,31.76265
836,Supermarket Wagner Holland and Hunter,Traditional Trade,Class A,19,Restaurant,Cash,27.533726,29.757716
837,Market Peters LLC,HORECA,Class C,28,Kiosk,Credit 15 Days,29.514101,30.381546
838,Market Schaefer-Marsh,HORECA,Class B,16,Kiosk,Credit 30 Days,31.216794,29.410064
839,Grocery Mendoza Hernandez and Mccoy,Modern Trade,Class C,18,Supermarket,Credit 30 Days,30.649693,29.464225
840,Grocery Hunter and Sons,HORECA,Class A,35,Supermarket,Credit 15 Days,27.11808,29.276604
841,Market Henderson Schneider and Mckenzie,Modern Trade,Class A,24,Restaurant,Credit 30 Days,29.752055,29.290258
842,Supermarket Anderson Ramos and Barnes,HORECA,Class A,29,Wholesale,Cash,30.932673,30.820676
843,Market Smith-Lopez,Modern Trade,Class C,9,Cafeteria,Credit 15 Days,28.292888,31.456526
844,Hypermarket Mullins Sanchez and Kim,Modern Trade,Class A,14,Kiosk,Credit 15 Days,27.124272,29.701218
845,Market Ward-Anderson,Modern Trade,Class A,34,Supermarket,Credit 30 Days,28.182441,31.894107
846,Grocery Peterson Hall and Silva,Traditional Trade,Class C,1,Mini Market,Cash,29.84563,29.347622
847,Market Martinez-Serrano,Traditional Trade,Class B,13,Supermarket,Cash,29.93048,29.922688
848,Supermarket Baxter-Rodriguez,HORECA,Class A,33,Supermarket,Credit 30 Days,27.70371,30.760939
849,Market Conner-Jackson,Modern Trade,Class C,35,Restaurant,Credit 30 Days,29.55898,32.377524
850,Hypermarket Adams Anthony and Taylor,Traditional Trade,Class C,27,Mini Market,Credit 15 Days,29.608278,30.214689
851,Market Jones-Parker,Modern Trade,Class C,31,Supermarket,Cash,28.265143,32.364226
852,Market Stephenson Inc,Modern Trade,Class C,21,Wholesale,Cash,27.756859,32.583426
853,Grocery Lopez-Smith,Modern Trade,Class B,7,Wholesale,Cash,27.780872,31.290754
854,Hypermarket Duke Stokes and Mclean,HORECA,Class A,1,Kiosk,Credit 15 Days,27.67188,31.7873
855,Hypermarket Best Inc,HORECA,Class B,31,Supermarket,Cash,28.778346,30.888126
856,Market Brown-Herring,Traditional Trade,Class A,12,Restaurant,Credit 30 Days,29.888697,29.409568
857,Hypermarket Thomas Brown and Miller,HORECA,Class C,24,Wholesale,Credit 15 Days,28.280243,29.147497
858,Grocery Greene Russell and Lambert,Modern Trade,Class C,4,Kiosk,Credit 30 Days,27.581467,30.35951
859,Supermarket Carpenter and Sons,Traditional Trade,Class A,17,Supermarket,Credit 30 Days,30.182447,29.54992
860,Supermarket Briggs-Gould,Modern Trade,Class A,2,Cafeteria,Credit 30 Days,27.903416,29.488816
861,Market Miller Ltd,Traditional Trade,Class C,16,Cafeteria,Cash,27.211578,30.732294
862,Grocery Sweeney-Hill,Modern Trade,Class C,34,Cafeteria,Credit 30 Days,27.52057,31.521728
863,Supermarket Dunn-Stevens,Modern Trade,Class B,16,Supermarket,Cash,28.960107,29.31136
864,Market Griffin Wheeler and Goodman,Traditional Trade,Class C,14,Kiosk,Credit 30 Days,30.056305,29.887667
865,Grocery Olsen Group,Modern Trade,Class B,22,Supermarket,Credit 30 Days,29.287235,30.22732
866,Grocery Flynn Sanchez and Olson,Traditional Trade,Class C,25,Mini Market,Cash,29.440638,32.874842
867,Supermarket Brown-Cardenas,Traditional Trade,Class A,26,Kiosk,Credit 30 Days,30.079094,30.914563
868,Grocery Robles Levy and Melendez,Traditional Trade,Class C,24,Supermarket,Credit 15 Days,30.369547,31.265591
869,Grocery Green Haynes and Chaney,HORECA,Class B,17,Restaurant,Cash,28.738859,30.611601
870,Supermarket Torres-Jones,Traditional Trade,Class A,23,Wholesale,Credit 30 Days,30.906875,29.961187
871,Market Huff-Powers,Traditional Trade,Class C,16,Supermarket,Credit 30 Days,28.723465,31.499108
872,Grocery Morton Fry and Peterson,Traditional Trade,Class C,20,Wholesale,Credit 15 Days,28.130635,30.113394
873,Hypermarket Miller PLC,Modern Trade,Class C,17,Cafeteria,Cash,29.974775,32.575009
874,Supermarket Walker Group,Traditional Trade,Class B,30,Kiosk,Credit 30 Days,29.239977,31.932812
875,Hypermarket Evans Johnson and Bryant,Modern Trade,Class B,29,Supermarket,Credit 15 Days,30.408456,31.525514
876,Supermarket Yoder Carter and Davis,Traditional Trade,Class A,22,Wholesale,Credit 30 Days,28.91011,29.991539
877,Hypermarket Williams Jones and Mullen,Modern Trade,Class C,6,Restaurant,Credit 15 Days,30.353969,31.453874
878,Grocery White-Cobb,HORECA,Class A,20,Cafeteria,Cash,27.613197,32.649111
879,Hypermarket Thomas-Bailey,Traditional Trade,Class C,21,Kiosk,Credit 15 Days,29.448664,30.458911
880,Market Anderson LLC,Modern Trade,Class C,29,Cafeteria,Credit 15 Days,29.956265,32.943757
881,Supermarket Fuller Harmon and Castro,Modern Trade,Class C,6,Wholesale,Credit 30 Days,30.345522,30.528896
882,Hypermarket Farley LLC,Traditional Trade,Class A,21,Kiosk,Credit 30 Days,27.45734,29.111756
883,Market Green-Johnson,Traditional Trade,Class C,19,Wholesale,Credit 30 Days,29.829723,30.010971
884,Grocery Coleman Morgan and Fitzpatrick,Modern Trade,Class C,28,Supermarket,Cash,27.809287,32.300215
885,Grocery Mcgee Trevino and Mendez,Modern Trade,Class B,25,Restaurant,Credit 15 Days,27.894327,31.617478
886,Supermarket Powell LLC,Modern Trade,Class C,13,Wholesale,Cash,29.986124,31.086921
887,Supermarket Taylor Ltd,Modern Trade,Class C,9,Mini Market,Credit 30 Days,31.440291,30.228966
888,Supermarket Taylor Melton and Ellis,Traditional Trade,Class C,24,Cafeteria,Credit 30 Days,28.515857,29.201971
889,Market Perkins-Strickland,HORECA,Class A,20,Kiosk,Cash,30.546841,29.616549
890,Grocery Hansen Ltd,Traditional Trade,Class B,11,Kiosk,Cash,28.263338,29.541294
891,Supermarket King-Herrera,Traditional Trade,Class A,35,Supermarket,Cash,29.15459,29.238315
892,Hypermarket Clark-Tucker,Modern Trade,Class A,17,Restaurant,Credit 30 Days,28.953318,30.861215
893,Supermarket Williamson Burke and Todd,Modern Trade,Class C,19,Mini Market,Credit 15 Days,29.995028,30.684437
894,Market Shields Miller and Maldonado,Traditional Trade,Class A,19,Cafeteria,Credit 30 Days,31.249645,31.978555
895,Grocery Escobar PLC,HORECA,Class C,2,Mini Market,Credit 30 Days,30.97426,29.845172
896,Grocery Alexander-Frank,Traditional Trade,Class C,18,Mini Market,Cash,28.391582,31.387474
897,Market Henry-Schwartz,Modern Trade,Class B,17,Supermarket,Credit 30 Days,31.014175,32.550705
898,Hypermarket Welch-Watkins,HORECA,Class C,35,Restaurant,Cash,28.633635,30.683486
899,Grocery Ramirez-Myers,Modern Trade,Class B,13,Restaurant,Credit 30 Days,31.36172,32.610142
900,Hypermarket Pearson Ltd,Modern Trade,Class C,12,Cafeteria,Credit 15 Days,30.586038,30.265345
901,Market Rojas Barber and Scott,Traditional Trade,Class A,33,Mini Market,Cash,30.185361,30.326005
902,Grocery Simpson-Mora,HORECA,Class A,11,Restaurant,Cash,27.662784,29.714045
903,Grocery Snow Ltd,Traditional Trade,Class B,24,Kiosk,Credit 15 Days,27.992619,29.182406
904,Supermarket Perez Johnson and Wagner,HORECA,Class A,22,Kiosk,Credit 30 Days,28.177182,31.483413
905,Hypermarket Villa-Sullivan,HORECA,Class C,34,Supermarket,Cash,31.387459,29.400124
906,Grocery Wright Dunn and Rodriguez,Traditional Trade,Class B,19,Cafeteria,Cash,30.701588,29.007065
907,Hypermarket Martin-Myers,HORECA,Class A,16,Supermarket,Credit 30 Days,30.481112,30.151642
908,Hypermarket Juarez-Howell,Modern Trade,Class A,35,Mini Market,Cash,29.868445,31.854056
909,Market Robertson Rivera and Rodriguez,Traditional Trade,Class A,33,Wholesale,Cash,30.42042,30.697267
910,Market Matthews Ltd,Modern Trade,Class A,16,Mini Market,Credit 15 Days,28.423673,32.723876
911,Market Bailey and Sons,Modern Trade,Class B,25,Mini Market,Credit 30 Days,29.875693,30.26408
912,Hypermarket Banks Ltd,HORECA,Class A,29,Kiosk,Cash,31.143617,29.905245
913,Supermarket Velazquez Lewis and Vargas,Modern Trade,Class A,24,Mini Market,Credit 15 Days,29.856682,30.196381
914,Market Lewis-Santos,HORECA,Class C,35,Supermarket,Cash,30.229261,32.686675
915,Hypermarket Cook PLC,Traditional Trade,Class A,2,Mini Market,Cash,30.754297,29.727112
916,Hypermarket Roach-Kramer,Traditional Trade,Class B,19,Kiosk,Cash,28.087688,32.429774
917,Market Brown Ltd,Modern Trade,Class A,29,Kiosk,Cash,31.036476,32.006387
918,Supermarket Roberts-Rice,Traditional Trade,Class A,14,Supermarket,Credit 15 Days,29.888963,31.418068
919,Supermarket Morrison-Sullivan,Modern Trade,Class A,20,Supermarket,Credit 30 Days,29.739306,30.837293
920,Grocery Mitchell LLC,Modern Trade,Class A,11,Kiosk,Credit 15 Days,29.47799,32.394608
921,Grocery Curtis Group,Modern Trade,Class B,3,Mini Market,Credit 30 Days,29.731259,31.019841
